recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
41.333000	0.124000	4.581000	0.370000	47.493000	21.055735	149.814407
40.075001	0.219000	4.720000	0.409000	46.463001	21.522501	154.585022
35.039001	0.104000	4.112000	0.374000	43.405998	23.038290	163.878418
37.285000	0.256000	16.257999	0.629000	57.344002	17.438616	159.531815
22.742001	0.226000	10.359000	0.389000	36.564999	27.348558	256.187653
31.006001	0.200000	4.400000	0.459000	37.117001	26.941832	201.204269
35.817001	0.160000	4.865000	0.379000	42.756001	23.388531	173.208588
36.500000	0.158000	5.642000	0.383000	43.947998	22.754166	170.145172
34.520000	0.171000	6.899000	0.442000	42.882000	23.319807	181.786697
34.672001	0.166000	7.004000	0.449000	43.436001	23.022377	182.382202
30.481001	0.183000	8.146000	0.445000	40.542000	24.665779	204.142120
27.618999	0.229000	9.152000	0.387000	39.351002	25.412313	220.150345
32.355999	0.167000	8.392000	0.417000	43.659000	22.904785	186.618103
29.587999	0.162000	6.719000	0.403000	39.264000	25.468622	202.460373
33.373001	0.175000	7.931000	0.409000	43.521999	22.976885	183.531403
30.906000	0.213000	8.578000	0.415000	41.956001	23.834492	197.633240
30.802000	0.193000	7.542000	0.431000	40.807999	24.504999	198.713120
31.798000	0.153000	8.363000	0.621000	42.535999	23.509499	193.392838
30.938000	0.134000	5.068000	0.374000	38.132999	26.224007	198.556335
35.460999	0.252000	9.121000	0.449000	46.841999	21.348364	173.375687
28.459000	0.246000	11.458000	0.455000	42.797001	23.366123	212.240875
31.455000	0.207000	10.601000	0.544000	44.696999	22.372868	194.872421
28.559999	0.196000	10.991000	0.458000	42.200001	23.696682	214.388885
28.257999	0.975000	11.591000	0.534000	42.476002	23.542706	219.420929
30.737000	0.220000	10.644000	0.477000	44.339001	22.553509	198.512482
25.368000	0.232000	12.204000	0.446000	41.231998	24.253008	230.540710
22.961000	0.186000	10.917000	0.436000	37.138000	26.926598	257.645935
27.533001	0.237000	12.646000	0.528000	42.741001	23.396738	223.664413
25.159000	0.222000	10.851000	0.514000	38.973999	25.658133	239.082504
29.510000	0.234000	11.359000	0.459000	43.359001	23.063261	209.484756
27.410000	0.231000	11.882996	0.441000	41.840027	23.900558	224.006836
25.660000	0.275000	12.362000	0.507000	40.907001	24.445692	236.743408
25.323999	0.235000	12.495000	0.426000	40.214001	24.866961	241.431229
25.473000	0.224000	10.867000	0.532000	38.638000	25.881256	241.746643
27.764000	0.230000	12.079000	0.548000	42.659000	23.441711	219.658401
26.087000	0.214000	11.993000	0.421000	40.786999	24.517616	233.830978
25.427999	0.223000	12.427000	0.429000	40.330002	24.795437	241.246063
27.351000	0.271000	12.142000	0.540000	41.501999	24.095224	228.191086
25.964001	0.216000	9.593000	0.432000	39.030998	25.620661	226.205597
30.826000	0.222000	10.787000	0.468000	44.226002	22.611134	197.701538
28.816000	0.234000	11.468000	0.515000	42.846001	23.339401	213.486816
29.114000	0.122000	4.788000	0.397000	35.969002	27.801716	211.598434
35.748001	0.207000	10.771000	0.410000	47.902000	20.875956	175.753723
26.319000	0.126000	5.075000	0.548000	33.675999	29.694738	234.677017
27.992001	0.240000	12.596000	0.492000	42.985001	23.263929	216.931793
25.629999	0.822000	6.833000	0.459000	33.988998	29.421286	247.043488
33.202000	0.198000	9.148000	0.426000	44.749001	22.346869	184.246246
28.287001	0.219000	11.784000	0.429000	42.194000	23.700052	218.180603
20.879000	0.239000	10.840000	0.438000	34.091000	29.333256	290.517914
25.621000	0.221000	10.929000	0.470000	38.985001	25.650890	237.082413
27.893000	0.253000	12.124000	0.544000	42.944000	23.286140	218.491272
23.431999	0.225000	11.634000	0.446000	37.567001	26.619106	258.886353
25.445000	4.231000	12.610000	0.486000	40.355999	24.779463	239.583252
30.162001	0.110000	3.723000	0.433000	36.186001	27.634996	204.254791
30.889999	0.209000	10.787000	0.438000	44.236000	22.606022	197.838318
28.083984	0.196000	11.630000	0.428000	42.028015	23.793653	217.832977
25.613001	0.235000	12.414000	0.435000	40.660999	24.593592	235.820526
26.090000	0.435000	12.436000	0.476000	41.004002	24.387863	233.345322
19.160999	0.164000	3.714000	2.150000	27.556999	36.288422	303.202728
32.623001	0.222000	9.543000	0.472000	44.729000	22.356859	187.435379
22.705000	0.243000	12.656000	0.557000	37.963001	26.341436	270.961548
20.478001	0.172000	5.697000	1.324000	28.649000	34.905231	305.930267
32.500999	0.222000	11.577000	0.501000	45.757000	21.854580	192.363983
27.382000	10.682000	11.877000	0.470000	41.858002	23.890295	224.510437
30.787001	0.234000	10.473000	0.514000	44.619999	22.411476	196.319656
21.674000	0.179000	11.391000	0.527000	35.397999	28.250185	281.862671
21.636999	0.499000	12.618000	0.464000	36.706001	27.243502	279.881500
21.103001	0.192000	12.649000	0.560000	36.389000	27.480833	286.966614
26.451000	0.196000	12.638000	0.521000	41.928001	23.850409	230.152771
